game_id,title,release_date,esrb,console,metascore,user_score,sales_mil,details
829,Under Night In-Birth Exe:Late[cl-r],2020-02-20,T,Switch,82,7.9,,Cold friends & New under night In-Birth exe: late[cl-r] introduces a brand new character-icyy Fighter londrekia and his frosty new set of moves.
830,Sky: Children of the Light,2021-06-29,E10+,Switch,82,7.5,,"Welcome to the enchanting world of Sky, a beautifully-animated kingdom waiting to be explored by you and your loved ones."
831,Terraria,2019-06-27,T,Switch,82,7.9,,"Terraria offers players a chance to be an action gamer, master builder, a collector, and even an explorer."
832,Salt and Sanctuary,2018-08-02,M,Switch,82,8.1,0.030,"Salt and Sanctuary casts you as a sailor shipwrecked on a strange, purgatorial island, insulated somehow against a backdrop of centuries-old worldwide perpetual war."
833,Vectronom,2019-05-29,E,Switch,82,8.4,,"A hypnotic video game about music, geometry and flow.Feel like solving three-dimensional riddles to a frenetic electronic soundtrack?"
834,Astalon: Tears of the Earth,2021-06-03,T,Switch,82,5.8,,"Fight, climb and solve your way through a twisted tower as three unique adventurers, on a mission to save their village from impending doom!"
835,Little Nightmares II,2021-02-11,T,Switch,82,8.6,,"Little Nightmares II is a suspense-adventure game in which you play as Mono, a young boy trapped in a world that has been distorted by a mysterious transmission from a distant signal tower."
836,Horace,2020-10-21,T,Switch,82,7.8,,"Horace is a story-driven, pixel-platform adventure peppered with nostalgic, popular culture references which will bring a smile to any gamer who enjoys the 8 and 16 bit era."
837,Devil May Cry 3: Special Edition,2020-02-20,M,Switch,82,8.2,,"Devil May Cry 3 marks the return of the world’s toughest demon slayer, Dante, in a riveting new game marked by complex storylines, striking graphics and unadulterated stylistic action."
838,Borderlands Legendary Collection,2020-05-29,M,Switch,82,8.2,,"Get three times the mayhem, three times the loot, and three times the action with the Borderlands Legendary Collection!"
839,Animal Crossing: New Horizons - Happy Home Paradise,2021-11-05,E,Switch,82,8.0,,Expand your horizons with DLC and help create vacation homes for clients on resort islands.
840,Ib,2023-05-09,T,Switch,82,7.9,,"A 2D exploration adventure game set in a creepy, mysterious art gallery."
841,Endling - Extinction is Forever,2022-07-19,T,Switch,82,8.2,,Experience how life would be in a world ravaged by mankind through the eyes of the last fox on Earth in this eco-conscious adventure.
842,NEO: The World Ends with You,2021-07-27,T,Switch,82,8.1,,"Collect and wield hundreds of Psych abilities to battle surreal threats. Investigate the world around you and beat the '"Reapers'' Game'" to survive."
843,Splatoon 2: Octo Expansion,2018-06-13,E10+,Switch,82,8.5,,Play as an Octoling for the very first time in this large-scale downloadable content for the Splatoon 2 game.
844,Bloodstained: Curse of the Moon,2018-05-24,T,Switch,82,8.2,0.300,Battle with swords and whips in this retro-style action game brought to you by game creator Koji Igarashi and Inti Creates.
845,Lunistice,2022-11-10,E,Switch,82,5.9,,Lunistice is a 3D Platformer created with simple & fun gameplay and a cute PS1/SEGA Saturn inspired artstyle in mind.
846,SOLAS 128,2021-01-25,E,Switch,82,,,"Explore SOLAS 128, a game of interconnected puzzles where you redirect and reconfigure rhythmic pulses of light to breathe life back into an ancient machine."
847,Freedom Planet,2018-08-30,E10+,Switch,82,8.2,,"Fight your way across the celestial world of Avalice where cats are green, motorcycles drive up walls and monster girls do most of the buttkicking!"
848,Ys VIII: Lacrimosa of DANA,2018-06-26,T,Switch,82,8.6,0.110,"Adol awakens shipwrecked and stranded on a cursed island. There, he and the other shipwrecked passengers he rescues form a village to challenge fearsome beasts and mysterious ruins on the isolated island."
849,Ys Origin,2020-10-01,T,Switch,82,7.9,,Ys Origin is a game that takes place 700 years before the events of Ys I & II.
850,Thimbleweed Park,2017-09-21,T,Switch,82,8.1,,"Thimbleweed Park is a 2D point & click adventure game that cuts to the core of what made the classic games so special, and done by the actual people who spawned the genre."
851,Toki Tori,2018-03-30,E,Switch,82,6.1,,"Toki Tori is his name, and collecting eggs is his game. In this puzzle/platform game, players use a variety of items such as the Telewarp, InstantRock and Slug Sucker."
